16916,20,0
62493,285,0
30198,758,29
53683,947,108
40185,1273,0
28781,1389,0
24462,1678,23
48399,1807,67
64815,2095,75
18295,2423,-35
12218,2746,11
22760,3048,0
57982,3198,56
27966,3390,27
54894,3694,53
38929,3857,0
32865,4193,0
64243,4595,-68
2315,4619,66
64454,5062,62
55041,5121,0
18633,5577,0
14557,5853,0
61006,5966,59
62615,407,37
7591,6311,105
64747,6635,58
6727,6727,-111
32315,6971,-114
60645,7397,0
6308,7588,0
45688,7800,0
969,8137,0
40891,8379,-18
49294,8590,48
41118,8862,40
21395,9107,-28
6091,9419,-14
32541,9501,0
17665,9729,0
3784,10184,0
28718,1326,28
59240,10344,0
40178,1266,39
60086,10678,58
42252,10764,0
44770,11234,43
22514,11506,21
3067,11771,-2
15757,11917,0
31649,12193,0
10842,12378,10
43765,12789,0
33405,12925,0
44954,13210,43
56657,13393,0
5003,13707,-30
50227,13875,12
19358,14238,18
36529,14513,0
10392,14744,0
58882,14850,57
5129,15113,0
58554,15546,57
58584,15576,0
27444,15668,0
58982,14950,57
51476,15892,0
6796,6796,0
21311,9023,-49
30705,16369,0
28964,16420,0
41003,8747,10
20259,16675,-56
57857,3073,0
63258,16922,61
36374,14358,35
692,17332,0
43121,17521,0
48128,17664,0
34561,17921,0
49213,8509,0
36922,18234,36
59162,10266,57
50552,18552,0
17866,9930,17
18145,18913,0
3884,18988,0
54388,19316,0
42932,19636,0
46919,19783,-47
58892,14860,0
8620,20140,0
38336,20416,0
64357,4965,0
23387,20571,-42
42632,20872,0
15913,21033,0
15679,11839,79
22501,11493,0
37540,21412,0
5527,21655,101
63921,21937,0
62716,508,0
32874,4202,32
64390,4998,62
63101,22141,0
61802,22378,60
19648,22720,0
29031,16487,89
44981,13237,0
28092,3516,0
9448,23016,0
44744,11208,0
61496,23096,0
31453,23517,0
60746,23626,59
12199,2727,-23
62255,23855,-53
21793,24097,0
26544,24496,0
14964,24692,0
41462,25078,40
56089,25113,0
52038,25414,50
47982,25710,46
59484,25948,0
50924,26348,0
6942,26398,6
34998,26806,34
27069,27069,0
51926,27350,50
60645,7397,0
43181,17581,0
10559,27455,79
4664,27704,0
28578,28066,27
59516,25980,0
38912,3840,0
63562,28234,62
64846,2126,63
62938,28634,61
27194,28730,26
28804,1412,0
61703,22279,65
10998,12534,10
6596,29124,0
37721,29273,0
43430,29606,42
22692,2980,0
62971,28667,126
47125,29717,0
52521,29993,0
34646,18006,33
32889,4217,0
13055,30463,-65
65416,30600,0
62869,28565,0
57314,30946,55
12659,31091,92
14052,31460,0
32956,4284,0
49273,8569,0
50352,14000,0
49737,31561,0
15555,31939,48
47475,32115,92
15328,32480,0
34621,17981,0
51365,32677,0
32820,4148,0
48855,32983,-75
12224,2752,0
2035,33267,-4
60539,7291,30
14595,33283,64
13853,31261,0
24143,33615,-109
15216,32368,0
8113,33969,0
22640,2928,0
32978,4306,32
39151,4079,59
19520,22592,0
58141,34077,0
63959,21975,117
53040,34352,0
55842,34594,54
585,17225,0
51229,32541,0
64181,34997,0
54879,35167,-105
28210,35378,27
10268,14620,0
15395,31779,8
12884,30292,0
2149,35685,0
53483,36075,58
59606,26070,58
14981,24709,0
36672,36160,0
23197,36509,0
36518,14502,35
13361,36657,0
19810,36962,19
25955,37219,88
62678,470,61
26021,37285,0
29409,37601,0
38111,37855,55
58573,15565,0
56840,37896,0
41306,24922,40
54426,19354,53
3617,10017,0
50652,18652,0
41452,25068,0
20241,16657,0
31723,12267,-6
53747,38387,124
28550,28038,27
23402,20586,22
21205,38613,0
56181,25205,0
57470,38782,56
39933,39165,0
34964,26772,0
24781,39373,0
41747,39443,-60
62564,356,0
58461,15453,0
20858,39802,20
49301,8597,0
40572,40060,0
23840,40224,0
35278,40654,34
62905,28601,0
56650,40778,55
11149,41101,0
38920,3848,0
23430,20614,22
57592,38904,0
3080,41224,0
6677,6677,0
50704,26128,0
51883,27307,-86
62799,28495,83
20188,41692,0
1245,41949,0
12220,2748,0
17602,42178,17
28609,28097,0
42694,20934,41
29826,42370,29
13827,31235,-128
27336,28872,0
53343,35935,23
11533,42509,0
41713,42993,0
33890,43106,33
4894,43294,4
57599,38911,63
3870,18974,3
58622,15614,57
29780,42324,0
62553,345,0
2303,35839,63
51915,27339,-78
6251,43627,26
38107,37851,54
59325,43965,0
61295,44143,-37
26699,44363,18
51188,44788,0
59519,25983,31
7345,44977,0
20325,16741,0
39633,45265,0
1562,45338,1
7580,45724,0
8170,34026,7
62256,23856,0
35823,46063,-5
27790,46222,27
13191,46471,-31
9772,46636,0
7477,45621,0
44455,47015,105
59546,26010,58
49347,864
